Libelle Arabe	commune	taux_vieillissement
??? ??????	Imi N'tayart	39.7
?????	Tabia	38.1
????	Ammelne	37.7
???????	Tassrirt	37
?????	Tanalt	36.4
?????	Aouguenz	35.9
?????? ???????	Tafraout El Mouloud	35.1
???? ??????	Tizi Ntakoucht	34.9
??? ??? ????	Ait Abdallah	34.4
???? ??????	Irigh N'tahala	34.3
??? ????	Ait Issafen	34.2
?????	Tindine	33.6
????? ????	Tnine Aday	32.5
???????	Tarsouat	32.3
???????	Tizoughrane	32
???? ??????	Targua-Ntouchka	31.5
???? ????	Sidi Mzal	31.5
??? ???????	Ida Ou Gougmar	31.4
???????	Oualqadi	31.1
???? ????	Sidi Boaal	31.1
??? ?????	Ait Ouafqa	31
??? ??????	Ida-Ougnidif	30.9
????	Adar	30.2
??????	Tisfane	30.1
????????	Toumliline	30
?????? ??? ????	Arbaa Ait Ahmed	29.5
?????	Hilala	29.2
?????? ??????	Arbaa Rasmouka	29.1
???????	Dcheira	29
????	Anfeg	28.9
???????	Souissi	28.8
???????	Toufelaazt	28.5
??????	Nihit	28.2
??????	Imaouen	28
??????	Tassegdelt	27.9
???? ????	Afella Ighir	27.9
??????	Toughmart	27.8
??????	Tadrart	27.6
????????	Touarga	27
??? ???? ?????	Ait Aissa Ihahane	27
????	Ouijjane	26.8
?????	Issafen	26.8
????	Amalou	26.7
??????? ??????	Gleibat El Foula	26.5
????	Tizaghte	26.5
????	Hassan	26.3
?????	Ahfir	26.3
?????????	Azaghar N'irs	26.1
?????	Aziar	26
????? ??????	Agdal Riyad	25.9
??????	Daoura	25.5
??? ????	Ait Mzal	25.4
????	Ibdar	25.4
????	Anzi	25.3
???? ???????	Al Machouar-Stinia	25.1
??? ??????	Bni Marghnine	25
?????	Assads	25
???? ???? ??????	Sidi Ahmed Laaroussi	24.9
????	Adrej	24.9
?????	Amtdi	24.9
????	Anfa	24.8
??????	Tamanarte	24.7
??? ???????	Ain Erreggada	24.6
?????? ??????	Echatea El Abied	24.5
??????	Boutrouch	24.5
????– ??????	Méchouar-Kasba	24.5
??? ??????	Ait Ouadrim	24.4
???? ????	Targa Wassay	24.4
??????	Takoucht	24.3
???? ??? ???? ?????????	Sidi Abdallah El Bouchouari	24.3
???????	Tifariti	24.1
???????	Imouzzer	24
???? ???????	Tidsi-Nissendalene	24
?????? ??????	Arbaa Sahel	23.9
??????	Sbouya	23.9
??????	Talilit	23.8
?????	Tighmi	23.8
????????	Maârif	23.7
?????	Agdal	23.7
???? ?????	Sidi Belyout	23.5
??? ???????	Mers-Sultan	23.4
???? ???? ??????	Sidi Ahmed Ou Moussa	23.3
?????? ??????	El Maader El Kabir	23.1
??????	Aguinane	23.1
????? ????? ???????	Oulad Daoud Zkhanine	23
????	Figuig	23
?????	Idmine	23
????? ????	Tnine Aglou	22.9
??????	Houderrane	22.8
?????	Tataoute	22.8
??? ?????	Ouad L'bour	22.7
?????	Aqsri	22.7
?????	Adaghas	22.6
???? ???? ??????	Sidi H'mad Ou Hamed	22.5
??? ??????	Ras Tabouda	22.4
???? ???? ??????	Sidi Allal Lamsadder	22.3
??????	Al-Fida	22.2
????? ???????	Marrakech-Médina	22.2
??????	Tazaghine	22.1
???? ?? ??? ????	Sidi Bouabdelli	22.1
???? ?????? ?? ???	Sidi H'saine Ou Ali	22.1
???????	Bounaamane	22
????????	Tizgzaouine	22
?????	Tagmout	21.9
???????	Boudinar	21.8
????????	Harhoura	21.7
??????	Irhzrane	21.6
??? ???????	Dar El Hamra	21.6
??????????	Al Barkanyene	21.6
???????	Tigzmerte	21.6
???? ???????	Hay-Mohammadi	21.5
???? ????	Sidi Amar	21.5
?????	Iferni	21.5
???	Tiqqi	21.5
?????? ??? ??? ????	Arbaa Ait Abdellah	21.5
???????	Lamnizla	21.4
?????	Tiddas	21.3
??? ????? ????	Bni Sidel Louta	21.3
????????	Mtarnagha	21.3
?????	Labyar	21.3
?????	Tighirt	21.3
??????	Bouzemmour	21.2
????? ????	Tnine Amellou	21.2
?????	Assaisse	21.2
???????	Bigoudine	21.1
??? ?????	Ait Ouabelli	21.1
??? ?????	Ibn Yacoub	21.1
?????? ???????	Asoukhour Assawda	21
????	Tidzi	21
???????	Tahelouante	21
??????	Rghioua	20.9
??? ????? ?????	Bni Sidel Jbel	20.9
???? ??????	Sidi Bouhria	20.9
???? ?????	Ida Ou Kazzou	20.9
??????	Tassousfi	20.9
??????	Tangarfa	20.8
??? ????	Ait Mait	20.7
???? ???????	Sidi El Jazouli	20.7
??? ????	Ait Milk	20.7
???? ??????	Sidi M'bark	20.7
????????	Maaziz	20.6
??????	Tafersit	20.6
??? ???? ????	Ahl Sidi Lahcen	20.6
????? ??????	Oulad Mkoudou	20.6
??? ?????	Rass Oumlil	20.6
????	Aday	20.6
??? ?????	Ait El Mane	20.5
??????	Imgrade	20.5
?????	Assais	20.5
????? ????	Taliouine Assaka	20.5
????? ???? ??????	Ifrane Atlas Saghir	20.5
????? ??????	Oulad Boussaken	20.4
??? ????	Hel Merbaa	20.4
??? ?? ??	Bir Tam-Tam	20.4
???? ?????	Sidi Boubker	20.4
???????? ????? ????	Rdadna Oulad Malek	20.3
????? ???????	Yacoub El Mansour	20.3
??? ????	Ain Kaicher	20.3
???? ??? ??????	Sidi Ali Bourakba	20.3
??? ????????	Dar El Kebdani	20.3
??????	Arekmane	20.3
??? ????	Ait Ikkou	20.2
??? ????	Ben-M'sick	20.1
??? ????	Ait Ammar	20
?????	Amejjaou	20
??????	Iksane	20
?????	El Borj	20
?????	Berkane	20
?????	El Faid	20
????????	Tadighoust	20
?????	Bettana	19.9
????????	Tafoughalt	19.9
?????? ??? ??????	Méchouar-Fès-El Jadid	19.8
?????-????	Skoura M'daz	19.8
???? ?????	Mechraa Hammadi	19.8
?????	Rislane	19.8
??????	El Menzel	19.7
?????	Aglif	19.7
????? ????? ?????	My Idriss Zerhoun	19.6
???? ??? ???????	Sidi Ali El Korati	19.6
???????	Imoulass	19.6
???? ???? ??????	Sidi Ahmed Cherif	19.5
??? ?????	Ras-El-Ma	19.5
??????	Touissit	19.5
????? ?????	Oulad Boubker	19.4
???? ????????	Sidi Boushab	19.4
??? ?????	Ida-Ougoummad	19.4
???????	Mzefroune	19.3
????	M'tal	19.3
???? ?????	Sidi Kaouki	19.3
???? ???? ???????	Sidi Hmad Ou M'barek	19.3
?????	Kouzemt	19.3
??? ???????	Sebt Ennabour	19.3
??? ??? ????	Bni Abdellah	19.2
???????	Reggada	19.2
???? ????	Gueltat Zemmour	19.1
??? ?????? ???????	Ait Bouyahia El Hajjama	19.1
??????	El Hammam	19.1
???????	Timoulay	19.1
?????	Metrane	19
??????? ???????	Khemisset Chaouia	19
??? ?????	Kaf El Ghar	19
?????	Aklim	19
???? ??? ???? ?? ????	Sidi Abdellah Ou Said	19
