ï»¿libelle_arabe,commune,densite,densite_norm,commune_norm
??? ?????,Bni Makada,567326.0,1.0,bnimakada
???? ????,Sidi Moumen,551118.0,0.9714302333984944,sidimoumen
?????,MeknÃ¨s,548421.0,0.966676243978192,meknas
???? ??????,Hay-Hassani,536887.0,0.946345315548912,hayhassani
???????,MÃ©nara,519433.0,0.915579230512962,manara
????,Oujda,505007.0,0.8901505870656939,oujda
??????,Agadir,501797.0,0.8844923349191716,agadir
????????,KÃ©nitra,500772.0,0.8826855721621045,kanitra
?????,TÃ©touan,419038.0,0.7386134285658886,tatouan
??? ????,AÃ¯n-Chock,374579.0,0.6602457549888686,aanchock
?????,Zouagha,358435.0,0.6317888008912188,zouagha
???????,MÃ©dina,342492.0,0.6036861485634915,madina
????,Safi,321581.0,0.5668264256239501,safi
??? ?????,Dar Bouazza,302918.0,0.5339292418823471,darbouazza
?????,TÃ©mara,295606.0,0.5210404133168111,tamara
??????,LaÃ¢youne,258233.0,0.4551631991510859,laayoune
?????,Mghogha,252177.0,0.4444883159737217,mghogha
????? ????,Moulay Rachid,244692.0,0.4312945411087001,moulayrachid
???????,Tabriquet,237048.0,0.4178204976794115,tabriquet
????,Saiss,236305.0,0.4165108150174595,saiss
???????,El Jadida,235681.0,0.4154108931048645,eljadida
????,Hssaine,232909.0,0.410524701531606,hssaine
????????,Layayda,226157.0,0.398622982374809,layayda
?????,Gueliz,217156.0,0.3827569613247008,gueliz
???? ?????,Sidi Othmane,211894.0,0.3734816582732989,sidiothmane
??? ????,Ait Melloul,210480.0,0.3709892070162326,aitmelloul
??? ????,BÃ©ni Mellal,209104.0,0.3685637381833309,banimellal
?????????,El Mariniyine,206387.0,0.3637744948555735,elmariniyine
???????,Bouskoura,200084.0,0.3526642259211405,bouskoura
????????,Mohammadia,193794.0,0.3415768720265532,mohammadia
??????,Khouribga,191807.0,0.3380743963209022,khouribga
???? ?????,Jnan El Ouard,187724.0,0.3308773111139706,jnanelouard
????,Settat,171130.0,0.301627144098584,settat
?????,Berrechid,167449.0,0.2951386624314973,berrechid
??? ??????,Bab Lamrissa,167279.0,0.29483900421813,bablamrissa
????? ???????,Yacoub El Mansour,166573.0,0.2935945412849696,yacoubelmansour
???????,Dakhla,161723.0,0.28504546872714,dakhla
????????,El Youssoufia,157460.0,0.2775310983531137,elyoussoufia
???????,Nador,155611.0,0.2742718746089019,nador
???? ????????,Sidi Bernoussi,153621.0,0.2707641108171327,sidibernoussi
????,Taza,149796.0,0.2640218010163701,taza
??? ?????,AÃ¯n-SebaÃ¢,143697.0,0.2532711219379778,aansebaa
????????,MaÃ¢rif,139116.0,0.2451962144354174,maarif
??????,Inezgane,137003.0,0.2414716391128001,inezgane
???? ?????,Sidi Belyout,136392.0,0.2403946322400509,sidibelyout
???????,Larache,133592.0,0.2354590851963554,larache
?????,Agdal,126463.0,0.2228928298840322,agdal
?????,Guelmim,126364.0,0.2227183230421301,guelmim
??????,Al-Fida,125777.0,0.2216836208583268,elfida
????????,KhÃ©misset,125523.0,0.2212358962336488,khamisset
????? ??????,Ksar El Kebir,124655.0,0.2197058766501032,ksarelkebir
????????,Skhirate,122067.0,0.2151440210254304,skhirate
??????,Khenifra,121542.0,0.2142186059547375,khenifra
??? ????,Bni Yakhlef,117649.0,0.207356432868628,bniyakhlef
??? ????,Ben Guerir,114455.0,0.2017263838480697,benguerir
??? ?????,Ait Amira,113205.0,0.1995230146321343,aitamira
???? ???? ????,Sidi Yahya Zaer,112563.0,0.1983913642028298,sidiyahyazaer
??????,Ouislane,112180.0,0.1977162518750672,ouislane
???????,Souani,110723.0,0.1951480047169728,souani
??????? ????????,Dcheira El Jihadia,110712.0,0.1951286150678725,dcheiraeljihadia
???? ???? ?? ???,Sidi Youssef Ben Ali,107955.0,0.1902688639252053,sidiyoussefbenali
????????,Drargua,107467.0,0.1894086685833041,drargua
???????,Tassoultante,105993.0,0.186810455603873,tassoultante
??? ????,Ben-M'sick,105549.0,0.1860278188583727,benmsick
???? ????????,KelÃ¢at Sraghna,105194.0,0.185402062001047,kelaatsraghna
?????? ???????,Asoukhour Assawda,104694.0,0.1845207143146728,asoukhourassawda
?????,Harbil,104195.0,0.1836411293236714,harbil
???? ???????,Hay-Mohammadi,104137.0,0.183538892992052,haymohammadi
????? ??? ????,My Abdellah,103755.0,0.1828655433596621,myabdellah
?????,Sbata,101624.0,0.1791092395203353,sbata
??????,Lqliaa,101350.0,0.1786262609882022,lqliaa
?????,Tiflet,100792.0,0.1776426769702087,tiflet
???????,Taourirt,100363.0,0.1768864806552996,taourirt
????? ?????,Oulad Teima,100172.0,0.1765498058391046,ouledteima
?????,Berkane,98838.0,0.1741983702118583,berkane
??? ??????,Ain El Aouda,98454.0,0.1735214951887229,ainelaouda
