COMMUNE_PCODE	commune	PROVINCE	REGION	area_km2	road_length_km	road_density_km_per_km2	indice_densite_routiere	Indice_transport	Indice_POI	Indice_accessibilite
MA0010010810101	Azilal	Azilal	Béni Mellal-Khénifra	21.180513555096248	24.736238762630208	1.1678771951532032	16.15	0.24	2.75	8.7
MA0010010810103	Demnate	Azilal	Béni Mellal-Khénifra	18.70183244125412	19.256243190591285	1.0296447287226356	14.23	0.0	1.21	7.36
MA0010010810301	Agoudi N'Lkhair	Azilal	Béni Mellal-Khénifra	380.3489657786869	36.22137756364138	0.0952319601802663	1.32	0.0	0.04	0.67
MA0010010810303	Ait Abbas	Azilal	Béni Mellal-Khénifra	366.3399354184831	107.45938387629086	0.2933324311299454	4.06	0.0	0.04	2.04
MA0010010810305	Ait Bou Oulli	Azilal	Béni Mellal-Khénifra	561.4852206984161	77.74203130893515	0.1384578408176691	1.91	0.0	0.4	1.03
MA0010010810307	Ait M'Hamed	Azilal	Béni Mellal-Khénifra	800.898809964697	109.86541792198577	0.1371776516022399	1.9	0.0	0.11	0.97
MA0010010810309	Tabant	Azilal	Béni Mellal-Khénifra	500.4026182480809	215.1583264710696	0.4299704250636076	5.94	0.24	1.07	3.26
MA0010010810311	Tamda Noumercid	Azilal	Béni Mellal-Khénifra	278.75589574325033	66.23458843736795	0.2376078477578593	3.28	0.0	0.04	1.65
MA0010010810313	Zaouiat Ahansal	Azilal	Béni Mellal-Khénifra	1466.8654629197729	185.42985044804007	0.1264123091963354	1.75	0.0	1.1	1.1
MA0010010810501	Ait Taguella	Azilal	Béni Mellal-Khénifra	151.5232063924501	131.83985426447896	0.870096781894975	12.03	0.24	1.62	6.41
MA0010010810505	Bni Hassane	Azilal	Béni Mellal-Khénifra	177.9966349398628	36.80744607472528	0.2067873141936694	2.86	0.0	0.04	1.44
MA0010010810507	Bzou	Azilal	Béni Mellal-Khénifra	308.94299156663607	98.32038169309652	0.318247652081435	4.4	0.0	0.26	2.25
MA0010010810509	Foum Jemaa	Azilal	Béni Mellal-Khénifra	132.56616167784722	49.82658258769828	0.3758619994503822	5.2	0.0	0.07	2.61
MA0010010810511	Moulay Aissa Ben Driss	Azilal	Béni Mellal-Khénifra	183.48329831361127	184.7255330569593	1.006770287839631	13.92	0.0	0.15	6.99
MA0010010810513	Rfala	Azilal	Béni Mellal-Khénifra	261.95921540782746	112.55570719764287	0.4296688208598127	5.94	0.0	0.07	2.98
MA0010010810515	Tabia	Azilal	Béni Mellal-Khénifra	149.8694443339578	45.3692045189507	0.30272484641935	4.19	0.0	0.07	2.11
MA0010010810517	Tanant	Azilal	Béni Mellal-Khénifra	247.553139687082	28.500641338582493	0.1151293874705388	1.59	0.0	0.18	0.83
MA0010010810519	Taounza	Azilal	Béni Mellal-Khénifra	187.7319293565128	99.79020162616204	0.5315568958792044	7.35	0.0	0.04	3.68
MA0010010810521	Tisqi	Azilal	Béni Mellal-Khénifra	135.414298775612	46.09181710315231	0.3403762934926737	4.71	0.0	0.0	2.36
MA0010010810903	Ait Mazigh	Azilal	Béni Mellal-Khénifra	225.6432572870844	75.82066015032002	0.3360200568894195	4.65	0.0	0.07	2.34
MA0010010810907	Ait Ouqabli	Azilal	Béni Mellal-Khénifra	156.45784222539342	31.108279945794	0.198828511906609	2.75	0.0	0.15	1.4
MA0010010810909	Anergui	Azilal	Béni Mellal-Khénifra	385.6513728773056	9.086397656279582	0.0235611702571856	0.33	0.0	0.33	0.23
MA0010010810911	Bin El Ouidane	Azilal	Béni Mellal-Khénifra	212.6564393747629	46.0374612390887	0.2164875015045146	2.99	0.0	0.33	1.56
MA0010010810913	Isseksi	Azilal	Béni Mellal-Khénifra	98.46993954451808	15.054642969690336	0.1528856729203551	2.11	0.0	0.0	1.06
MA0010010810915	Ouaouizeght	Azilal	Béni Mellal-Khénifra	174.062612537586	59.08415604771897	0.3394419696818046	4.69	0.24	0.4	2.5
MA0010010810917	Tabaroucht	Azilal	Béni Mellal-Khénifra	190.8549417382893	0.571833661064494	0.0029961690059281	0.04	0.0	0.0	0.02
MA0010010810919	Tagleft	Azilal	Béni Mellal-Khénifra	534.3501812728658	75.88417139813147	0.1420120626091473	1.96	0.24	0.22	1.1
MA0010010810921	Tiffert N'Ait Hamza	Azilal	Béni Mellal-Khénifra	254.05927584029047	16.975483020139663	0.0668170172649432	0.92	0.0	0.0	0.46
