commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang	commune_norm
Harhoura	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1	harhoura
Asoukhour Assawda	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1	asoukhourassawda
Oum Dreyga	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1	oumdreyga
Touarga	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1	touarga
Souissi	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1	souissi
Ifrane	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1	ifrane
Agdal Riyad	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1	agdalriyad
Taznakht	0.54	1.5	1.1	1.0	1.0	0.9971671388101984	0.9994	Bon	8	taznakht
Agdal	0.55	1.6	1.0	0.9994665244065084	0.997716894977169	1.0	0.999	Bon	9	agdal
Ouarzazate	0.54	1.5	1.4	1.0	1.0	0.9886685552407932	0.9977	Bon	10	ouarzazate
Aïn-Sebaâ	0.54	1.5	1.4	1.0	1.0	0.9886685552407932	0.9977	Bon	10	ainsebaa
Gueliz	0.54	1.5	1.4	1.0	1.0	0.9886685552407932	0.9977	Bon	10	gueliz
Témara	0.54	1.5	1.4	1.0	1.0	0.9886685552407932	0.9977	Bon	10	temara
Errachidia	0.61	1.8	1.0	0.9962656708455588	0.9931506849315068	1.0	0.9961	Bon	14	errachidia
Agadir	0.61	1.8	1.0	0.9962656708455588	0.9931506849315068	1.0	0.9961	Bon	14	agadir
Ménara	0.61	1.8	1.2	0.9962656708455588	0.9931506849315068	0.9943342776203966	0.9949	Bon	16	menara
Tata	0.54	1.5	2.0	1.0	1.0	0.971671388101983	0.9943	Bon	17	tata
Hssaine	0.62	1.7	1.4	0.9957321952520672	0.995433789954338	0.9886685552407932	0.9942	Bon	18	hssaine
Hassan	0.54	1.5	2.2	1.0	1.0	0.9660056657223796	0.9932	Bon	19	hassan
Maârif	0.54	1.5	2.3	1.0	1.0	0.963172804532578	0.9926	Bon	20	maarif
Ain Attig	0.63	1.7	1.7	0.9951987196585756	0.995433789954338	0.980169971671388	0.9923	Bon	21	ainattig
Laâyoune	0.71	2.1	1.0	0.9909309149106428	0.9863013698630136	1.0	0.9914	Bon	22	laayoune
Kénitra	0.66	1.9	1.5	0.9935982928781008	0.9908675799086758	0.9858356940509916	0.9912	Bon	23	kenitra
Aïn-Chock	0.63	1.8	1.8	0.9951987196585756	0.9931506849315068	0.9773371104815864	0.991	Bon	24	ainchock
Boujniba	0.64	1.7	1.9	0.994665244065084	0.995433789954338	0.9745042492917848	0.9909	Bon	25	boujniba
El Jadida	0.69	1.9	1.5	0.991997866097626	0.9908675799086758	0.9858356940509916	0.9904	Bon	26	eljadida
Tafraout	0.61	1.8	2.1	0.9962656708455588	0.9931506849315068	0.9688385269121812	0.9898	Bon	27	tafraout
Tarfaya	0.76	2.2	1.0	0.9882635369431848	0.9840182648401826	1.0	0.9893	Bon	28	tarfaya
Médina	0.75	2.1	1.2	0.9887970125366764	0.9863013698630136	0.9943342776203966	0.9892	Bon	29	medina
Souani	0.75	2.1	1.2	0.9887970125366764	0.9863013698630136	0.9943342776203966	0.9892	Bon	29	souani
Yacoub El Mansour	0.62	1.8	2.2	0.9957321952520672	0.9931506849315068	0.9660056657223796	0.989	Bon	31	yacoubelmansour
Moulay Ali Cherif	0.78	2.2	1.0	0.9871965857562016	0.9840182648401826	1.0	0.9888	Bon	32	moulayalicherif
Tinejdad	0.65	1.9	2.0	0.9941317684715923	0.9908675799086758	0.971671388101983	0.9887	Bon	33	tinejdad
Tiznit	0.77	2.2	1.1	0.9877300613496932	0.9840182648401826	0.9971671388101984	0.9885	Bon	34	tiznit
Dcheira El Jihadia	0.77	2.3	1.0	0.9877300613496932	0.9817351598173516	1.0	0.9884	Bon	35	dcheiraeljihadia
Sidi Bernoussi	0.67	1.9	2.0	0.9930648172846092	0.9908675799086758	0.971671388101983	0.9881	Bon	36	sidibernoussi
Bouskoura	0.69	2.0	1.8	0.991997866097626	0.9885844748858448	0.9773371104815864	0.988	Bon	37	bouskoura
Lagouira	0.77	2.3	1.2	0.9877300613496932	0.9817351598173516	0.9943342776203966	0.9873	Bon	38	lagouira
Sbata	0.69	1.9	2.1	0.991997866097626	0.9908675799086758	0.9688385269121812	0.987	Bon	39	sbata
Anfa	0.64	1.8	2.5	0.994665244065084	0.9931506849315068	0.9575070821529744	0.9868	Bon	40	anfa
Hay-Hassani	0.7	2.0	2.0	0.9914643905041344	0.9885844748858448	0.971671388101983	0.9866	Bon	41	hayhassani
Berrechid	0.78	2.2	1.5	0.9871965857562016	0.9840182648401826	0.9858356940509916	0.986	Bon	42	berrechid
Guelmim	0.8	2.3	1.3	0.9861296345692184	0.9817351598173516	0.9915014164305948	0.9859	Bon	43	guelmim
Benslimane	0.63	1.8	2.8	0.9951987196585756	0.9931506849315068	0.9490084985835694	0.9853	Bon	44	benslimane
Sidi Yahya Zaer	0.73	2.1	2.0	0.9898639637236596	0.9863013698630136	0.971671388101983	0.9852	Bon	45	sidiyahyazaer
Bab Lamrissa	0.79	2.2	1.6	0.98666311016271	0.9840182648401826	0.9830028328611898	0.9851	Bon	46	bablamrissa
Deroua	0.77	2.2	1.7	0.9877300613496932	0.9840182648401826	0.980169971671388	0.9851	Bon	46	deroua
Sidi Moumen	0.75	2.1	2.0	0.9887970125366764	0.9863013698630136	0.971671388101983	0.9846	Bon	48	sidimoumen
Ain El Aouda	0.81	2.3	1.5	0.9855961589757268	0.9817351598173516	0.9858356940509916	0.9845	Bon	49	ainelaouda
Er-Rich	0.74	2.1	2.1	0.989330488130168	0.9863013698630136	0.9688385269121812	0.9843	Bon	50	errich
Ait Melloul	0.84	2.4	1.3	0.983995732195252	0.9794520547945206	0.9915014164305948	0.9841	Bon	51	aitmelloul
Bouizakarne	0.87	2.6	1.0	0.9823953054147772	0.9748858447488584	1.0	0.9837	Bon	52	bouizakarne
Tabriquet	0.82	2.4	1.5	0.9850626833822352	0.9794520547945206	0.9858356940509916	0.9835	Bon	53	tabriquet
Es-Semara	0.83	2.4	1.5	0.9845292077887436	0.9794520547945206	0.9858356940509916	0.9833	Bon	54	essemara
Tahannaout	0.87	2.5	1.2	0.9823953054147772	0.9771689497716894	0.9943342776203966	0.9832	Bon	55	tahannaout
Arfoud	0.85	2.3	1.6	0.9834622566017605	0.9817351598173516	0.9830028328611898	0.9829	Bon	56	arfoud
Mohammadia	0.76	2.2	2.3	0.9882635369431848	0.9840182648401826	0.963172804532578	0.982	Bon	57	mohammadia
El Ouatia	0.76	2.1	2.5	0.9882635369431848	0.9863013698630136	0.9575070821529744	0.9815	Bon	58	elouatia
Mehdya	0.87	2.5	1.5	0.9823953054147772	0.9771689497716894	0.9858356940509916	0.9815	Bon	58	mehdya
Bir Gandouz	0.54	1.5	4.3	1.0	1.0	0.906515580736544	0.9813	Bon	60	birgandouz
Al-Fida	0.73	2.1	2.8	0.9898639637236596	0.9863013698630136	0.9490084985835694	0.9806	Bon	61	elfida
Essaouira	0.87	2.5	1.7	0.9823953054147772	0.9771689497716894	0.980169971671388	0.9804	Bon	62	essaouira
Khouribga	0.9	2.6	1.5	0.9807948786343024	0.9748858447488584	0.9858356940509916	0.98	Bon	63	khouribga
Tit Mellil	0.76	2.1	2.8	0.9882635369431848	0.9863013698630136	0.9490084985835694	0.9798	Bon	64	titmellil
Dar Bouazza	0.86	2.5	1.9	0.9829287810082687	0.9771689497716894	0.9745042492917848	0.9795	Bon	65	darbouazza
Hay-Mohammadi	0.73	2.1	3.0	0.9898639637236596	0.9863013698630136	0.943342776203966	0.9795	Bon	65	haymohammadi
El Youssoufia	0.81	2.3	2.4	0.9855961589757268	0.9817351598173516	0.9603399433427762	0.9794	Bon	67	elyoussoufia
El Hajeb	0.83	2.4	2.2	0.9845292077887436	0.9794520547945206	0.9660056657223796	0.9793	Bon	68	elhajeb
Bettana	0.89	2.5	1.8	0.981328354227794	0.9771689497716894	0.9773371104815864	0.9793	Bon	68	bettana
Kelâat Sraghna	0.97	2.7	1.3	0.9770605494798612	0.9726027397260274	0.9915014164305948	0.9786	Bon	70	kelaatsraghna
Saiss	0.97	2.8	1.4	0.9770605494798612	0.9703196347031964	0.9886685552407932	0.9774	Bon	71	saiss
Boujdour	1.01	2.9	1.1	0.9749266471058948	0.9680365296803652	0.9971671388101984	0.9773	Bon	72	boujdour
Ben Guerir	0.94	2.7	1.7	0.978660976260336	0.9726027397260274	0.980169971671388	0.9771	Bon	73	benguerir
Layayda	0.93	2.6	1.9	0.9791944518538276	0.9748858447488584	0.9745042492917848	0.977	Bon	74	layayda
Settat	0.97	2.8	1.5	0.9770605494798612	0.9703196347031964	0.9858356940509916	0.9768	Bon	75	settat
Tan-Tan	0.98	2.9	1.4	0.9765270738863696	0.9680365296803652	0.9886685552407932	0.9764	Bon	76	tantan
Chefchaouen	0.89	2.5	2.3	0.981328354227794	0.9771689497716894	0.963172804532578	0.9764	Bon	76	chefchaouen
Foum El Oued	0.73	2.2	3.5	0.9898639637236596	0.9840182648401826	0.9291784702549576	0.976	Bon	78	foumeloued
Bouznika	0.85	2.5	2.6	0.9834622566017605	0.9771689497716894	0.9546742209631728	0.9758	Bon	79	bouznika
Lbir Jdid	0.86	2.4	2.7	0.9829287810082687	0.9794520547945206	0.9518413597733713	0.9757	Bon	80	lbirjdid
Taroudannt	0.99	2.8	1.6	0.975993598292878	0.9703196347031964	0.9830028328611898	0.9757	Bon	80	taroudannt
Gueznaia	0.92	2.6	2.2	0.9797279274473192	0.9748858447488584	0.9660056657223796	0.9755	Bon	82	gueznaia
El Menzeh	0.88	2.3	2.8	0.9818618298212856	0.9817351598173516	0.9490084985835694	0.9753	Bon	83	elmenzeh
Sidi Allal El Bahraoui	0.97	2.8	1.8	0.9770605494798612	0.9703196347031964	0.9773371104815864	0.9751	Bon	84	sidiallalelbahraoui
