commune	ipm	pov	vul	N_ipm	N_pov	N_vul	INIV	Niveau_de_vie_categorie	Rang
Harhoura	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1
Asoukhour Assawda	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1
Oum Dreyga	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1
Touarga	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1
Souissi	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1
Ifrane	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1
Agdal Riyad	0.54	1.5	1.0	1.0	1.0	1.0	1.0	Bon	1
Taznakht	0.54	1.5	1.1	1.0	1.0	0.9971671388101983	0.9994	Bon	8
Agdal	0.55	1.6	1.0	0.9994665244065084	0.997716894977169	1.0	0.999	Bon	9
Ouarzazate	0.54	1.5	1.4	1.0	1.0	0.9886685552407932	0.9977	Bon	10
Aïn-Sebaâ	0.54	1.5	1.4	1.0	1.0	0.9886685552407932	0.9977	Bon	10
Gueliz	0.54	1.5	1.4	1.0	1.0	0.9886685552407932	0.9977	Bon	10
Témara	0.54	1.5	1.4	1.0	1.0	0.9886685552407932	0.9977	Bon	10
Errachidia	0.61	1.8	1.0	0.9962656708455588	0.9931506849315068	1.0	0.9961	Bon	14
Agadir	0.61	1.8	1.0	0.9962656708455588	0.9931506849315068	1.0	0.9961	Bon	14
Ménara	0.61	1.8	1.2	0.9962656708455588	0.9931506849315068	0.9943342776203966	0.9949	Bon	16
Tata	0.54	1.5	2.0	1.0	1.0	0.971671388101983	0.9943	Bon	17
Hssaine	0.62	1.7	1.4	0.9957321952520672	0.995433789954338	0.9886685552407932	0.9942	Bon	18
Hassan	0.54	1.5	2.2	1.0	1.0	0.9660056657223796	0.9932	Bon	19
Maârif	0.54	1.5	2.3	1.0	1.0	0.9631728045325779	0.9926	Bon	20
Ain Attig	0.63	1.7	1.7	0.9951987196585756	0.995433789954338	0.9801699716713881	0.9923	Bon	21
Laâyoune	0.71	2.1	1.0	0.9909309149106429	0.9863013698630136	1.0	0.9914	Bon	22
Kénitra	0.66	1.9	1.5	0.9935982928781009	0.9908675799086758	0.9858356940509915	0.9912	Bon	23
Aïn-Chock	0.63	1.8	1.8	0.9951987196585756	0.9931506849315068	0.9773371104815864	0.991	Bon	24
Boujniba	0.64	1.7	1.9	0.994665244065084	0.995433789954338	0.9745042492917847	0.9909	Bon	25
El Jadida	0.69	1.9	1.5	0.9919978660976261	0.9908675799086758	0.9858356940509915	0.9904	Bon	26
Tafraout	0.61	1.8	2.1	0.9962656708455588	0.9931506849315068	0.9688385269121813	0.9898	Bon	27
Tarfaya	0.76	2.2	1.0	0.9882635369431848	0.9840182648401826	1.0	0.9893	Bon	28
Médina	0.75	2.1	1.2	0.9887970125366764	0.9863013698630136	0.9943342776203966	0.9892	Bon	29
Souani	0.75	2.1	1.2	0.9887970125366764	0.9863013698630136	0.9943342776203966	0.9892	Bon	29
Yacoub El Mansour	0.62	1.8	2.2	0.9957321952520672	0.9931506849315068	0.9660056657223796	0.989	Bon	31
Moulay Ali Cherif	0.78	2.2	1.0	0.9871965857562016	0.9840182648401826	1.0	0.9888	Bon	32
Tinejdad	0.65	1.9	2.0	0.9941317684715925	0.9908675799086758	0.971671388101983	0.9887	Bon	33
Tiznit	0.77	2.2	1.1	0.9877300613496932	0.9840182648401826	0.9971671388101983	0.9885	Bon	34
Dcheira El Jihadia	0.77	2.3	1.0	0.9877300613496932	0.9817351598173516	1.0	0.9884	Bon	35
Sidi Bernoussi	0.67	1.9	2.0	0.9930648172846093	0.9908675799086758	0.971671388101983	0.9881	Bon	36
Bouskoura	0.69	2.0	1.8	0.9919978660976261	0.9885844748858448	0.9773371104815864	0.988	Bon	37
Lagouira	0.77	2.3	1.2	0.9877300613496932	0.9817351598173516	0.9943342776203966	0.9873	Bon	38
Sbata	0.69	1.9	2.1	0.9919978660976261	0.9908675799086758	0.9688385269121813	0.987	Bon	39
Anfa	0.64	1.8	2.5	0.994665244065084	0.9931506849315068	0.9575070821529745	0.9868	Bon	40
