commune_norm	commune	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite_x	Indice_accessibilite_y	Indice_transport	indice_densite_routiere_x	Indice_POI_x	densite_norm	Indice_POI_y	indice_densite_routiere_y	indice_transport	Indice_accessibilite	densite
aanchock												0.6602457549888686					374579.0
aansebaa												0.2532711219379778					143697.0
aarabsebbahgheris	Aarab Sebbah Gheris	33.2	11.8	0.7498		0.6692	2.62	2.62	0.0	5.19	0.11	0.008363989543691	0.11	5.19	0.0	2.62	4758.0
aarabsebbahziz	Aarab Sebbah Ziz	32.2	10.7	0.855	2.0	0.7026	3.0	3.0	0.0	5.68	0.81	0.0361793225256604	0.81	5.68	0.0	3.0	20538.0
abadou	Abadou	27.4	14.2	0.8121		0.5806	5.16	5.16	0.0	10.31	0.0	0.0184536578573027	0.0	10.31	0.0	5.16	10482.0
abaynou	Abaynou	30.1	14.1	0.9354		0.6207	4.24	4.24	0.0	8.39	0.22	0.0051453077930525	0.22	8.39	0.0	4.24	2932.0
abboulakhal	Abbou Lakhal	39.6	7.4	0.1093		0.1846						0.0031305469820011	0.0	0.0	0.0		1789.0
abdelghayasouahel	Abdelghaya Souahel	28.9	10.3	0.6066		0.4368	0.73	0.73	0.0	1.41	0.11	0.0430485463932608	0.11	1.41	0.0	0.73	24435.0
aboulkhal							0.43	0.43	0.0	0.85	0.04					0.43	
abteh	Abteh	24.6	10.0	0.7656		0.5905	0.34	0.34	0.0	0.63	0.15	0.0011175488663224	0.15	0.63	0.0	0.34	647.0
adaghas	Adaghas	27.1	22.6	0.2768		0.438	1.18	1.18	0.0	2.37	0.0	0.0028961084974255	0.0	2.37	0.0	1.18	1656.0
adar	Adar	20.0	30.2	0.6461		0.3781	2.96	2.96	0.0	5.88	0.11	0.0053321535025638	0.11	5.88	0.0	2.96	3038.0
adassil	Adassil	30.2	13.8	0.419		0.4106	3.4	3.4	0.0	6.79	0.04	0.012419951596385	0.04	6.79	0.0	3.4	7059.0
aday	Aday	25.0	20.6	0.7492		0.6194	2.93	2.93	0.0	5.83	0.07	0.0049566993881684	0.07	5.83	0.0	2.93	2825.0
adis	Adis	25.7	16.1	0.9355		0.6597	0.94	0.94	0.0	1.87	0.04	0.0109533890462584	0.04	1.87	0.0	0.94	6227.0
adrej	Adrej	19.5	24.9	0.6811		0.4576	0.69	0.69	0.0	1.35	0.07	0.0021169971426708	0.07	1.35	0.0	0.69	1214.0
afallaissen	Afalla Issen	33.0	15.2	0.3451		0.2094	1.1	1.1	0.0	2.15	0.15	0.0127055082467703	0.15	2.15	0.0	1.1	7221.0
afellaighir	Afella Ighir	19.4	27.9	0.7917		0.5171	1.46	1.46	0.0	2.77	0.4	0.0042287061992233	0.4	2.77	0.0	1.46	2412.0
afellandra	Afella N'dra	32.7	14.5	0.6991		0.6071	0.33	0.33	0.0	0.57	0.22	0.0117113480565402	0.22	0.57	0.0	0.33	6657.0
aferkat	Aferkat	26.3	17.5	0.7923		0.6085	1.97	1.97	0.0	3.94	0.0	0.0016657471272472	0.0	3.94	0.0	1.97	958.0
afourar	Afourar	26.4	16.7	0.9385		0.8054	2.7	2.7	0.0	5.32	0.22	0.0355870568804169	0.22	5.32	0.0	2.7	20202.0
afra	Afra	30.2	15.1	0.7101		0.5868	1.06	1.06	0.0	2.0	0.29	0.0132924858058955	0.29	2.0	0.0	1.06	7554.0
afsou	Afsou	28.2	17.5	0.4719		0.2337	0.35	0.35	0.0	0.65	0.11	0.0035377296131059	0.11	0.65	0.0	0.35	2020.0
agadir	Agadir	22.9	13.4	0.9961	16.0	0.8225	52.0	52.0	100.0	30.71	33.24	0.8844923349191716	33.24	30.71	100.0	52.0	501797.0
agadirmelloul	Agadir Melloul	30.7	17.6	0.525		0.4251	1.7	1.7	0.0	3.33	0.18	0.013204351037258	0.18	3.33	0.0	1.7	7504.0
