commune_norm	taux_jeunesse	taux_vieillesse	INIV	nb_atm	IEDU	Indice_accessibilite	indice_transport	indice_densite_routiere	Indice_POI	Indice_accessibilite_norm	indice_transport_norm	indice_densite_routiere_norm	Indice_POI_norm
aarabsebbahgheris	33.2	11.8	0.7498		0.6692	2.62	0.0	5.19	0.11	0.05809861241127612	0.0	0.08033943492538315	0.0049590875278948815
aarabsebbahziz	32.2	10.7	0.855	2.0	0.7026	3.0	0.0	5.68	0.81	0.06710431207119245	0.0	0.08830510127775823	0.03651691725086231
abadou	27.4	14.2	0.8121		0.5806	5.16	0.0	10.31	0.0	0.11829460487492748	0.0	0.16357252007673115	0.0
abaynou	30.1	14.1	0.9354		0.6207	4.24	0.0	8.39	0.22	0.09649133201407738	0.0	0.13236011314497564	0.009918175055789763
abboulakhal	39.6	7.4	0.1093		0.1846						0.0		0.0
abdelghayasouahel	28.9	10.3	0.6066		0.4368	0.73	0.0	1.41	0.11	0.013307106208007966	0.0	0.01889000877848952	0.0049590875278948815
aboulkhal						0.43	0.0	0.85	0.04	0.006197343318600326	0.0	0.009786390090060835	0.0018033045555981388
abteh	24.6	10.0	0.7656		0.5905	0.34	0.0	0.63	0.15	0.004064414451778035	0.0	0.006209968462463852	0.0067623920834930205
adaghas	27.1	22.6	0.2768		0.438	1.18	0.0	2.37	0.0	0.023971750542119426	0.0	0.03449621224436726	0.0
adar	20.0	30.2	0.6461		0.3781	2.96	0.0	5.88	0.11	0.0661563436859381	0.0	0.09155639366648277	0.0049590875278948815
adassil	30.2	13.8	0.419		0.4106	3.4	0.0	6.79	0.04	0.07658399592373598	0.0	0.10634977403517938	0.0018033045555981388
aday	25.0	20.6	0.7492		0.6194	2.93	0.0	5.83	0.07	0.06544536739699734	0.0	0.09074357056930164	0.0031557829722967433
adis	25.7	16.1	0.9355		0.6597	0.94	0.0	1.87	0.04	0.018283940230593314	0.0	0.026367981272555942	0.0018033045555981388
