commune,nb_atm,commune_norm
Marrakech-Médina,20,marrakechmedina
Hassan,17,hassan
Agadir,16,agadir
Sidi Belyout,16,sidibelyout
Agdal Riyad,13,agdalriyad
Tabriquet,11,tabriquet
Anfa,11,anfa
Essaouira,11,essaouira
Sebta,10,sebta
Hay-Hassani,9,hayhassani
Fès-Médina,8,fesmedina
Gueliz,8,gueliz
Tanger-Médina,7,tangermedina
Meknès,6,meknes
El Maarif,5,elmaarif
El Jadida,5,eljadida
Tinghir,5,tinghir
Tétouan,5,tetouan
Boulemane,4,boulemane
Chefchaouen,4,chefchaouen
Oulad Teima,4,ouledteima
Ifrane,4,ifrane
Assilah,4,assilah
Méchouar-Kasba,4,mechouarkasba
Aourir,4,aourir
Ksar El Majaz,3,ksarelmajaz
Oujda,3,oujda
Ménara,3,menara
Bab Lamrissa,3,bablamrissa
Azemmour,3,azemmour
Aîn-Chock,3,ainchock
Tafraout,3,tafraout
El Kelaâ des Sraghna,2,elkelaadessraghna
Boumalne Dades,2,boumalnedades
Alnif,2,alnif
Demnate,2,demnate
Dar Bouazza,2,darbouazza
Assoukhour Assawda,2,assoukhourassawda
Azilal,2,azilal
Larache,2,larache
Sidi Slimane,2,sidislimane
Zagora,2,zagora
Taza,2,taza
Tata,2,tata
Yacoub El Mansour,2,yacoubelmansour
Sidi Bernoussi,2,sidibernoussi
Méchouar-Fès Jdid,2,mechouarfesjdid
Aarab Sebbah Ziz,2,aarabsebbahziz
Kénitra,2,kenitra
Midelt,2,midelt
Mirleft,2,mirleft
Moulay Driss Zerhoun,2,moulaydrisszerhoun
M'Hamid El Ghizlane,2,mhamidelghizlane
Goulmima,1,goulmima
Dcheira El Jihadia,1,dcheiraeljihadia
El Mansouria,1,elmansouria
El Borouj,1,elborouj
Fnideq,1,fnideq
Errachidia,1,errachidia
Et-taous,1,ettaous
Er-rich,1,errich
Ech-challalate,1,echchallalate
Charf-Mghogha,1,charfmghogha
Asni,1,asni
Ait Youssef Ou Ali,1,aityoussefouali
Ait Baha,1,aitbaha
Ait Amira,1,aitamira
Ait Zineb,1,aitzineb
Al-Fida,1,elfida
Al Machoua-Stinia,1,elmachouastinia
Ain Leuh,1,ainleuh
Agdal,1,agdal
Arfoud,1,arfoud
Bettana,1,bettana
Azrou,1,azrou
Assa,1,assa
Berkane,1,berkane
Bouznika,1,bouznika
Loualidia,1,loualidia
Guelmim,1,guelmim
Nador,1,nador
Moulay Bousselham,1,moulaybousselham
Moulay Ali Cherif,1,moulayalicherif
Martil,1,martil
Mehdya,1,mehdya
Melilia,1,melilia
Mers-Sultan,1,merssultan
Mikkes,1,mikkes
Ighrem N'Ougdal,1,ighremnougdal
Ifrane Atlas Saghir,1,ifraneatlassaghir
Gueznaia,1,gueznaia
Hay Mohammadi,1,haymohammadi
Jnan El Ouard,1,jnanelouard
Kalaat M'Gouna,1,kalaatmgouna
Lamaachate,1,lamaachate
Nouaceur,1,nouaceur
Sidi Moumen,1,sidimoumen
Sidi Ifni,1,sidiifni
Sidi El Makhfi,1,sidielmakhfi
Sidi Bennour,1,sidibennour
Safi,1,safi
Saidia,1,saidia
Saiss,1,saiss
Sebt Gzoula,1,sebtgzoula
Ounagha,1,ounagha
Taroudannt,1,taroudannt
Tahannaout,1,tahannaout
Skhirate,1,skhirate
Skoura Ahl El Oust,1,skouraahleloust
Tanant,1,tanant
Tazarine,1,tazarine
Témara,1,temara
