Libelle Arabe	commune	taux_jeunesse
??? ????	Abbou Lakhal	39.6
????	H'ssyia	39.2
??? ??????	Ait Boudaoud	37.7
??????	Taghbalte	37.7
????	Tichla	37.4
??????	Bleida	37
??????	Maatarka	36.9
??? ????	Ait Abbas	36.8
??????	Bouchaouene	36.7
??? ??????	Ait El Farsi	36.4
??? ????	Ait Ouallal	36.1
???????	Lounasda	36
??????	Fezouata	36
????? ?????	Oulad El Garne	35.9
??????	Ternata	35.9
??????	Ouaklim	35.7
??? ?????	Lalla Aaziza	35.5
???????	Bouzeroual	35.4
??????	Errouha	35.4
????? ?????	Oulad Chbana	35.3
?????	Anergui	35.2
???? ??????	Ighil N'oumgoun	35.2
??????	Ikniouen	35.2
???? ????	Sidi Chiker	35.1
???? ??? ???? ??????	Sidi Abdellah Al Khayat	35
???????	Ben Mansour	34.9
??? ?????	Bni Yagrine	34.9
???????	Haddada	34.8
???? ???????	Ameur Seflia	34.7
????????	Laouamra	34.6
???? ????? ?????	Sidi Boubker El Haj	34.6
??? ?????	Ras El Ain	34.5
????????	Imindounit	34.5
???????	Taftechna	34.5
????	Mikkes	34.4
?????	Messassa	34.4
????? ????	Jnane Bouih	34.3
??? ?????	Hjar Ennhal	34.3
???? ???? ???????	Sidi Mohamed Benmansour	34.3
???? ??????	Sidi El Hattab	34.3
????????	Kceibya	34.3
????? ??????	Zaouiat Ahansal	34.3
??? ????	Ait Hani	34.3
???????	Tazarine	34.3
???? ???? ????	Sidi Mohamed Lahmar	34.2
????? ????	Oulad Aamer	34.2
??????	Tabaroucht	34.2
???? ??????	Sidi Boulkhalf	34.2
??? ????	Bni Zoli	34.2
???? ????????	Ameur Chamalia	34.1
?????? ????	Nzalat Laadam	34.1
??? ??? ????	Ait Haddou Youssef	34.1
????????	Hiadna	34
??? ?????	Ait Blal	34
????? ????? ?????	Oulad Bouali Loued	33.9
??? ?????	Bni Mansour	33.9
????	Tilmi	33.9
??? ????	Bni Salah	33.8
??? ??????	Bni Bouchibet	33.8
????? ?????	Ouled Ghziyel	33.8
????? ???? ???	Taghzoute N'ait Atta	33.8
?????	M'ssici	33.8
????? ????? ????	Bahhara Ouled Ayad	33.7
???????	Lakhoualqa	33.7
??? ????	Bni Smih	33.7
???? ????? ?? ????	Sidi M'hamed Ben Lahcen	33.7
???	Guir	33.7
?????? ??????	Bouabout Amdlane	33.7
???????	Irohalen	33.7
??? ?????	Ait M'hamed	33.7
?????	Tissaf	33.6
??? ???	Bni Guil	33.6
???????	Laaouama	33.5
???????	Chtaiba	33.5
????????	El Bsabsa	33.5
??? ?????	Bni Ammart	33.5
???????	Tamegroute	33.5
????????	Er-Rissani	33.5
??????	Mograne	33.4
??????	Es-Sifa	33.4
??????	Jabria	33.3
????????	Jaafra	33.3
????? ??????	Oulad Cherki	33.3
???????	En-Nzala	33.3
??????	El Atef	33.3
?????	Mrija	33.3
????? ????	Oulad Khallouf	33.3
??? ??????	M'zem Sanhaja	33.2
??????	Boumerieme	33.2
??????? ???????	Zaouia Annahlia	33.2
?????	Azrar	33.2
????	Melaab	33.2
???? ???? ?????	Aarab Sebbah Gheris	33.2
?????	Zouada	33.1
????? ??????	Skoura Lhadra	33.1
???? ????	Sidi Aayad	33.1
????? ????	Louad Lakhdar	33.1
??? ????	Ait Aadel	33.1
??? ????? ????? ???????	Ait Sedrate Sahl El-Gharbia	33.1
?????	Alnif	33.1
????? ?????	Oulad Ouchih	33
??? ?????	Bni Bchir	33
????????	Taouloukoult	33
???? ????	Afalla Issen	33
??????	N'kob	33
????? ?????	Ouled Hcine	32.9
????	Jdour	32.9
???????	Chouafaa	32.9
???????	Tilougguite	32.9
????????	Imilmaiss	32.9
?????	Toubkal	32.9
?????	Imider	32.9
?????	Lamharra	32.8
???? ???? ?????	Sidi Yahia Ou Youssef	32.8
??????	Gteter	32.8
?????	Harbil	32.8
???? ???? ?? ??????	Sidi Aissa Ben Slimane	32.8
???????	Tinzouline	32.8
?????? ???????	Aghbalou-N'kerdous	32.8
????	Mogress	32.7
?????	Kridid	32.7
??? ????????	Dar Laaslouji	32.7
????? ??????	Oulad Freiha	32.7
????? ???? ????	Tiffert N'ait Hamza	32.7
??????	Ouaouzgane	32.7
????	Saka	32.7
??? ????????	Sebt Loudaya	32.7
???????	Laajajra	32.7
?????	Akarma	32.7
????????	Afella N'dra	32.7
???????	M'semrir	32.7
???? ??????	Oued Naam	32.7
??????	Tagleft	32.6
???? ??????	Sidi Bouzineb	32.6
?????	Ighoud	32.6
?????	Ahdil	32.6
??? ????? ????? ???????	Ait Sedrate Sahl Charkia	32.6
????? ???? ??????	Oulad Yahia Lagraire	32.6
???? ???	Sidi Ali	32.6
?????? ????????	Rissana Janoubia	32.5
????? ???????	Moulay Bousselham	32.5
????????	Sfafaa	32.5
??????	Eddachra	32.5
??? ???????	Dar Bel Amri	32.5
??? ???	Bni Idder	32.5
??? ??????	Ait Oumdis	32.5
?????	Ouaoula	32.5
??????	Tamezmoute	32.5
?????? ????????	Rissana Chamalia	32.4
???????	Rmilat	32.4
???????	Boutferda	32.4
????????	Mkansa	32.4
??? ???????	Ain Tazitounte	32.4
?????	Dzouz	32.4
????? ????	Ouled Ghanem	32.3
???? ??? ????	Koudiat Bni Dghough	32.3
??????	Jouamaa	32.3
???? ???? ??? ????	Sidi Hajjaj Oued Hassar	32.3
????? ?????	Oulad Massaoud	32.3
????	Ameur	32.3
