Libelle Arabe	commune	taux_jeunesse	commune_norm
??? ????	Abbou Lakhal	39.6	abboulakhal
????	H'ssyia	39.2	hssyia
??? ??????	Ait Boudaoud	37.7	aitboudaoud
??????	Taghbalte	37.7	taghbalte
????	Tichla	37.4	tichla
??????	Bleida	37.0	bleida
??????	Maatarka	36.9	maatarka
??? ????	Ait Abbas	36.8	aitabbas
??????	Bouchaouene	36.7	bouchaouene
??? ??????	Ait El Farsi	36.4	aitelfarsi
??? ????	Ait Ouallal	36.1	aitouallal
???????	Lounasda	36.0	lounasda
??????	Fezouata	36.0	fezouata
????? ?????	Oulad El Garne	35.9	ouledelgarne
??????	Ternata	35.9	ternata
??????	Ouaklim	35.7	ouaklim
??? ?????	Lalla Aaziza	35.5	lallaaaziza
???????	Bouzeroual	35.4	bouzeroual
??????	Errouha	35.4	errouha
????? ?????	Oulad Chbana	35.3	ouledchbana
?????	Anergui	35.2	anergui
???? ??????	Ighil N'oumgoun	35.2	ighilnoumgoun
??????	Ikniouen	35.2	ikniouen
???? ????	Sidi Chiker	35.1	sidichiker
???? ??? ???? ??????	Sidi Abdellah Al Khayat	35.0	sidiabdellahelkhayat
???????	Ben Mansour	34.9	benmansour
??? ?????	Bni Yagrine	34.9	bniyagrine
???????	Haddada	34.8	haddada
???? ???????	Ameur Seflia	34.7	ameurseflia
????????	Laouamra	34.6	laouamra
???? ????? ?????	Sidi Boubker El Haj	34.6	sidiboubkerelhaj
??? ?????	Ras El Ain	34.5	raselain
????????	Imindounit	34.5	imindounit
???????	Taftechna	34.5	taftechna
????	Mikkes	34.4	mikkes
?????	Messassa	34.4	messassa
????? ????	Jnane Bouih	34.3	jnanebouih
??? ?????	Hjar Ennhal	34.3	hjarennhal
???? ???? ???????	Sidi Mohamed Benmansour	34.3	sidimohamedbenmansour
???? ??????	Sidi El Hattab	34.3	sidielhattab
????????	Kceibya	34.3	kceibya
????? ??????	Zaouiat Ahansal	34.3	zaouiatahansal
??? ????	Ait Hani	34.3	aithani
???????	Tazarine	34.3	tazarine
???? ???? ????	Sidi Mohamed Lahmar	34.2	sidimohamedlahmar
????? ????	Oulad Aamer	34.2	ouledaamer
??????	Tabaroucht	34.2	tabaroucht
???? ??????	Sidi Boulkhalf	34.2	sidiboulkhalf
??? ????	Bni Zoli	34.2	bnizoli
???? ????????	Ameur Chamalia	34.1	ameurchamalia
?????? ????	Nzalat Laadam	34.1	nzalatlaadam
??? ??? ????	Ait Haddou Youssef	34.1	aithaddouyoussef
????????	Hiadna	34.0	hiadna
??? ?????	Ait Blal	34.0	aitblal
????? ????? ?????	Oulad Bouali Loued	33.9	ouledboualiloued
??? ?????	Bni Mansour	33.9	bnimansour
????	Tilmi	33.9	tilmi
??? ????	Bni Salah	33.8	bnisalah
??? ??????	Bni Bouchibet	33.8	bnibouchibet
????? ?????	Ouled Ghziyel	33.8	ouledghziyel
????? ???? ???	Taghzoute N'ait Atta	33.8	taghzoutenaitatta
?????	M'ssici	33.8	mssici
????? ????? ????	Bahhara Ouled Ayad	33.7	bahharaouledayad
???????	Lakhoualqa	33.7	lakhoualqa
??? ????	Bni Smih	33.7	bnismih
???? ????? ?? ????	Sidi M'hamed Ben Lahcen	33.7	sidimhamedbenlahcen
???	Guir	33.7	guir
?????? ??????	Bouabout Amdlane	33.7	bouaboutamdlane
