commune,societe,nb_atm,commune_norm,latitude,longitude
aarab sebbah ziz,Inconnue,2,aarabsebbahziz,31.4637845,-4.2169132
agadir,Inconnue,13,agadir,30.4205162,-9.5838532
agadir,Banque Populaire,2,agadir,30.4205162,-9.5838532
agadir,CIH Bank,1,agadir,30.4205162,-9.5838532
agdal,Inconnue,1,agdal,33.9983119,-6.8542908
agdal riyad,Inconnue,4,agdalriyad,34.0071036,-6.8458158
agdal riyad,BMCI,1,agdalriyad,34.0071036,-6.8458158
agdal riyad,Bank of Africa (BMCE),1,agdalriyad,34.0071036,-6.8458158
agdal riyad,CIH Bank,1,agdalriyad,34.0071036,-6.8458158
agdal riyad,Crédit du Maroc,1,agdalriyad,34.0071036,-6.8458158
agdal riyad,Crédit du Maroc ???? ??????,1,agdalriyad,34.0071036,-6.8458158
agdal riyad,Société générale Maroc ?????? ??????,1,agdalriyad,34.0071036,-6.8458158
agdal riyad,????? ??????,1,agdalriyad,34.0071036,-6.8458158
agdal riyad,??????? ??? ???,1,agdalriyad,34.0071036,-6.8458158
agdal riyad,??????? ?????,1,agdalriyad,34.0071036,-6.8458158
ain leuh,Bank Al-Maghrib ??? ??????,1,ainleuh,33.292125,-5.338439
ait amira,Inconnue,1,aitamira,30.1768183,-9.4891392
ait baha,Inconnue,1,aitbaha,30.070334,-9.154578
ait youssef ou ali,Banque Populaire,1,aityoussefouali,35.1658927,-3.8950035
ait zineb,Inconnue,1,aitzineb,30.9888447,-7.1348
al machoua-stinia,Banque populaire,1,elmachouastinia,32.0,-6.0
al-fida,??????? ?????,1,elfida,33.5649078,-7.5965827
alnif,Banque Populaire,1,alnif,31.116268,-5.16687
alnif,Inconnue,1,alnif,31.116268,-5.16687
anfa,Inconnue,7,anfa,33.5945144,-7.6200284
anfa,Attijariwafa Bank,1,anfa,33.5945144,-7.6200284
anfa,BMCE Bank,1,anfa,33.5945144,-7.6200284
anfa,BMCI,1,anfa,33.5945144,-7.6200284
anfa,Crédit du Maroc ???? ??????,1,anfa,33.5945144,-7.6200284
